 V3         V_out:Iss=5.00e-07        
 5.10000000e-02  3.82762332e+00 
 5.20000000e-02  3.85586690e+00 
 5.30000000e-02  3.88374341e+00 
 5.40000000e-02  3.91127448e+00 
 5.50000000e-02  3.93848053e+00 
 5.60000000e-02  3.96538082e+00 
 5.70000000e-02  3.99199358e+00 
 5.80000000e-02  4.01833604e+00 
 5.90000000e-02  4.04442453e+00 
 6.00000000e-02  4.07027452e+00 
 6.10000000e-02  4.09590070e+00 
 6.20000000e-02  4.12131705e+00 
 6.30000000e-02  4.14653684e+00 
 6.40000000e-02  4.17157275e+00 
 6.50000000e-02  4.19643683e+00 
 6.60000000e-02  4.22114063e+00 
 6.70000000e-02  4.24569516e+00 
 6.80000000e-02  4.27011097e+00 
 6.90000000e-02  4.29439817e+00 
 7.00000000e-02  4.31856646e+00 
 7.10000000e-02  4.34262517e+00 
 7.20000000e-02  4.36658325e+00 
 7.30000000e-02  4.39044934e+00 
 7.40000000e-02  4.41423176e+00 
 7.50000000e-02  4.43793855e+00 
 7.60000000e-02  4.46157745e+00 
 7.70000000e-02  4.48515599e+00 
 7.80000000e-02  4.50868143e+00 
 7.90000000e-02  4.53216084e+00 
 8.00000000e-02  4.55560105e+00 
 8.10000000e-02  4.57900873e+00 
 8.20000000e-02  4.60239035e+00 
 8.30000000e-02  4.62575223e+00 
 8.40000000e-02  4.64910050e+00 
 8.50000000e-02  4.67244119e+00 
 8.60000000e-02  4.69578015e+00 
 8.70000000e-02  4.71912313e+00 
 8.80000000e-02  4.74247575e+00 
 8.90000000e-02  4.76584352e+00 
 9.00000000e-02  4.78923184e+00 
 9.10000000e-02  4.81264603e+00 
 9.20000000e-02  4.83609130e+00 
 9.30000000e-02  4.85957280e+00 
 9.40000000e-02  4.88309558e+00 
 9.50000000e-02  4.90666461e+00 
 9.60000000e-02  4.93028484e+00 
 9.70000000e-02  4.95396110e+00 
 9.80000000e-02  4.97769819e+00 
 9.90000000e-02  5.00150087e+00 
 1.00000000e-01  5.02537382e+00 
